title,introduction,link,price,booking_date,rating_star,rating_count,country,cities,cat_key
Basque coast half-day tour,"Buy your Basque coast half-day tour now to see the transporter bridge, fishing villages and coastal towns now in Bilbao Spain.",https://www.kkday.com/zh-tw/product/118035,1860,20220317,0,0,西班牙,['畢爾包'],['景點門票']
Lisboa Card for 24h 48h or 72h,Buy your Lisboa Card and get access to over 35 museums and venues in Lisbon as well as free transportation around the city.,https://www.kkday.com/zh-tw/product/117110,403,20220317,0,0,葡萄牙,['里斯本'],['景點門票']
Moonlight cocktail river cruise through Budapest,Enjoy a Budapest cocktail river cruise in the moonlight. Experience the night atmosphere of the city center and see famous monuments.,https://www.kkday.com/zh-tw/product/117374,806,20220317,5,1,匈牙利,['布達佩斯'],['景點門票']
Montparnasse tower 56th floor and terrace ticket,Book your ticket for the Tour Montparnase and go up to the 56th floor of the tower to enjoy the best panoramic view of Paris!,https://www.kkday.com/zh-tw/product/117185,248,20220317,4.5,8,法國,['巴黎'],['景點門票']
Small Group Full day Mosaics of Istanbul,"Regular full-day, small group sightseeing tour of Istanbul visiting Topkapi Palace, Hagia Sophia, the Blue Mosque, Underground Cistern, the Grand Bazaar, the Hippodrome and the Egyptian Obelisk.",https://www.kkday.com/zh-tw/product/24665-istanbul-small-group-day-tour,1847,20220318,0,0,土耳其,['開塞利'],['一日遊']
Game of Thrones tour with Giant’s Causeway from Belfast,Buy your Game of Thrones Tour with Giant's Causeway now to dive into fantasy and join your favorite characters in iconic locations.,https://www.kkday.com/zh-tw/product/117520,1457,20220318,0,0,愛爾蘭,['貝爾法斯特'],['景點門票']
Cesky Krumlov and Ceske Budejovice day trip,Book your day trip to Cesky Krumlov and Ceske Budejovice from Prague to be amazed by two beautiful historic southern Bohemian cities.,https://www.kkday.com/zh-tw/product/117352,1589,20220317,0,0,捷克,['布拉格'],['景點門票']
Copenhagen Card,"Book your Copenhagen Card with us to get the most out of your visit to the Danish capital, including access to main attractions and public transport!",https://www.kkday.com/zh-tw/product/117171,868,20220318,0,0,丹麥,['哥本哈根'],['景點門票']
Abu Dhabi Mosque Qasr Al Watan and Etihad Towers from Dubai,"Book your Abu Dhabi Mosque, Qasr Al Watan and Etihad Towers tour to explore the best of the capital city of UAE in a trip to the wonders of the land.",https://www.kkday.com/zh-tw/product/117633,2511,20220317,0,0,阿拉伯聯合大公國,['杜拜'],['景點門票']
Dubai full day tour with optional lunch,"Immerse yourselves in a full-day tour of traditional and modern Dubai. Learn about how a modest fishing village at the Dubai Creek was transformed into a city hub of beautiful skylines and rich culture, through a guided tour with different stops.",https://www.kkday.com/zh-tw/product/117796,682,20220317,0,0,阿拉伯聯合大公國,['杜拜'],['城市觀光']
Guided boat trip in the historic center of Gent,Book a boat trip to visit the historical beauty of Gent from the water! The boat trip lasts 40 minutes and runs every day with departure every 20 minutes.,https://www.kkday.com/zh-tw/product/117756,186,20220318,0,0,比利時,['東弗蘭德省'],['景點門票']
Louvre Museum Abu Dhabi & Grand Mosque Tour from Dubai - Small Group Tour in English,The UAE offers a true feast for travelers. And this particular tour provides an enchanting experience of the crowning attractions of Abu Dhabi: The Louvre Museum & the Grand Mosque Abu Dhabi.,https://www.kkday.com/zh-tw/product/26376-louvre-museum-abu-dhabi-and-grand-mosque-tour-from-dubai,3097,20220316,5,2,阿拉伯聯合大公國,['杜拜'],['一日遊']
Chichén Itzá full-day tour from Mérida,"Enjoy a guided excursion to Chichén Itzá from Merida, and explore one of the most important cities of the Mayan culture whose name means ""At the mouth of the well of the Itza"".",https://www.kkday.com/zh-tw/product/117761,3968,20220316,0,0,墨西哥,['坎昆'],['景點門票']
Secret bike tour of London,"Book this secret bike tour of London. Take part to this alternative ride through London and cycle along a route that follows river and canal-side pathways, cycle lanes, back streets and hidden passageway.",https://www.kkday.com/zh-tw/product/117954,713,20220318,0,0,英國,['倫敦'],['景點門票']
Lake Como and Bellagio day trip,Buy your Lake Como winter day trip. Enjoy a breathtaking view of the lake from the viewpoint of Brunate and join a walking tour of the city.,https://www.kkday.com/zh-tw/product/117880,1209,20220318,0,0,義大利,['米蘭'],['景點門票']
Gaudi highlights eBike tour with Sagrada Familia tickets,This electric bicycle tour transforms the way you see Barcelona. Explore Gaudi's masterpieces such as the Sagrada Familia and discover the history of the Born Market.,https://www.kkday.com/zh-tw/product/117874,279,20220409,0,0,西班牙,['巴塞隆納'],['景點門票']
Imperial highlights half-day small-group tour,"Book your Imperial Rome tour for small groups now! See the Colosseum, the Imperial Forum and the Palatine Hill, one of the seven hills of Rome.",https://www.kkday.com/zh-tw/product/117596,1519,20220317,0,0,義大利,['羅馬'],['景點門票']
Segovia and Toledo tour from Madrid with skip-the-line tickets to the cathedral and the Alcázar,"Enjoy a tour from Madrid to Segovia and Toledo, two wonderful Spanish cities. Visit the Alcázar of Segovia and the Toledo cathedral with skip-the-line tickets.",https://www.kkday.com/zh-tw/product/117751,1581,20220318,0,0,西班牙,['馬德里'],['景點門票']
Small group day trip to Kinderdijk windmills and The Hague,"Visit the Dutch windmills at a UNESCO world heritage site in Kinderdijk, and discover the sights of The Hague. Enjoy a small group tour in a luxurious minivan.",https://www.kkday.com/zh-tw/product/117790,6480,20220318,0,0,荷蘭,['阿姆斯特丹'],['景點門票']
Morning tour of Monaco and Eze from Nice,"Book a half day guided tour of Monaco and Eze on the French Riviera! Enjoy the panoramic view over Cap Ferrat, visit the Old town of Monaco..Departure from Nice.",https://www.kkday.com/zh-tw/product/117988,977,20220317,0,0,法國,['尼斯'],['景點門票']
The Beatles Story exhibition tickets,Book your tickets to the Beatles Story exhibition now. Discover the largest exhibition devoted to The Beatles in their hometown of Liverpool.,https://www.kkday.com/zh-tw/product/117640,372,20220317,0,0,英國,['利物浦'],['景點門票']
Discover NY | Closed-Top Bus With Boat Ride,The wonders of New York City will dazzle you as you learn the history of this amazing city. Explore the famous landmarks of the Big Apple.,https://www.kkday.com/zh-tw/product/26351,2813,20220316,0,0,美國,['紐約'],['一日遊']
Red Dunes by Quad Bike Camel Ride Sandboarding and BBQ - (Program with Double Quad Bike),Head into the Lehbab Desert and ride across the dunes on a quad bike. Continue to a desert camp for a delicious BBQ and traditional entertainment.,https://www.kkday.com/zh-tw/product/26380-desert-double-quad-bike-camel-ride-sandboarding-and-bbq-dubai,3381,20220316,0,0,阿拉伯聯合大公國,['杜拜'],['一日遊']
Istanbul and Bosphorus cruise on private boat - Half Day Morning Tour,"Experience the magic of Istanbul in the morning: Spice bazaar, Golden Horn, Balat, Bosporus Cruise, guided tour and more. Book now with Musement!",https://www.kkday.com/zh-tw/product/117887,775,20220318,0,0,土耳其,['伊斯坦堡'],['景點門票']
Entrance ticket to the Opéra Garnier,"Buy your entrance ticket to the Palais Garnier, the famous Opéra de Paris, and visit one of the city's most significant architectural gems.",https://www.kkday.com/zh-tw/product/117103,372,,0,0,法國,['巴黎'],['景點門票']
Private Half-Day Cooking Class in Istanbul,Private Half-Day Cooking Class,https://www.kkday.com/zh-tw/product/24752,4688,20220319,0,0,土耳其,['伊斯坦堡'],['私人團&包車']
Full day tour from Cappadocia Devrent Valley Monk Valley & Open air Museum in Goreme,"Be amazed by natural rock formations of the Devrent Valley and Pasabag; followed by a visit to Göreme Open-Air Museum, a coherent geographical entity along with monasteries and churches. End your tour by making your own pottery in Avanos.",https://www.kkday.com/zh-tw/product/24697-day-tour-from-cappadocia-devrent-valley-pasabag-valley-goreme-open-air-museum-turkey,2415,20220319,0,0,土耳其,['開塞利'],['一日遊']
Small Group Imperial Tour of Istanbul - Afternoon,"Enjoy a half-day tour of Istanbul visiting Hagia Sophia, the Underground Cistern, and the Grand Bazaar.",https://www.kkday.com/zh-tw/product/24669,1563,20220319,0,0,土耳其,['開塞利'],['一日遊']
Full day Pamukkale & Hierapolis Tour from Izmir,Discover Pamukkale and the ancient city of Hierapolis during this guided day trip from Izmir. The tour includes a visit to the stunning natural wonder of Pamukkale and the fascinating Roman ruins at Hierapolis.,https://www.kkday.com/zh-tw/product/24670-izmir-tour-pamukkale-and-hierapolis-turkey,3552,20220319,4.5,2,土耳其,['開塞利'],['一日遊']
BEST OF DC - VIP TOUR,"Best of DC – VIP Tour - experience Washington, DC like a true insider!",https://www.kkday.com/zh-tw/product/26329,2813,20220316,0,0,美國,['紐約'],['一日遊']
Tour of Pompeii and Mount Vesuvius from Naples,Enjoy a small group tour to the Pompeii excavations site with pick-up from your hotel or accommodation in Naples. Enjoy lunch with pizza included in the price. Visit the Vesuvius National Park with its height of 1000 meters.,https://www.kkday.com/zh-tw/product/117726,3224,20220401,0,0,義大利,['那不勒斯'],['景點門票']
Private Turkish Art Marbling or Calligraphy,Private Turkish Marbling or Calligraphy Class,https://www.kkday.com/zh-tw/product/24738,3040,20220319,0,0,土耳其,['伊斯坦堡'],['私人團&包車']
Hop-on hop-off Athens pass with Piraeus and Beach-Riviera tour options,"Hop on our bus, create your own itinerary and explore Athens at your own pace: trace the history and culture from ancient times to the present day.",https://www.kkday.com/zh-tw/product/117612,248,20220317,0,0,希臘,['聖托里尼'],['景點門票']
La Pedrera skip-the-line tickets with audio guide,"Discover La Pedrera with an audio-guided visit. Explore the Espai Gaudí, the Pedrera Apartment, the courtyards, the exhibition room, and the roof-terrace.",https://www.kkday.com/zh-tw/product/117081,186,20220317,5,1,西班牙,['巴塞隆納'],['景點門票']
Terezin tour including admission ticket from Prague,"Book a Terezin tour including admission ticket with comfortable transfer from Prague and back. Visit the Concentration Camp, join a guided walking tour and hear the stories connected with Terezin.",https://www.kkday.com/zh-tw/product/117477,899,20220317,0,0,捷克,['布拉格'],['景點門票']
Abu Dhabi Small-Group Day Trip from Dubai - Semi Private English,Abu Dhabi City Sightseeing Tour from Dubai - Semi Private English,https://www.kkday.com/zh-tw/product/26364-abu-dhabi-semi-private-tour-with-english-speaking-guide-dubai,3097,20220317,5,1,阿拉伯聯合大公國,['杜拜'],['一日遊']
Munich Third Reich walking tour,Many buildings of Munich carry secrets of a dark past. Discover them and the city's connection with Hitler and the Third Reich with an expert guide.,https://www.kkday.com/zh-tw/product/117960,527,20220319,0,0,德國,['慕尼黑'],['景點門票']
Fly LINQ Zipline Experience tickets,Book your Fly LINQ Zipline Experience tickets with Musement and fly 12 stories over the LINQ Promenade to the High Roller Observation Wheel.,https://www.kkday.com/zh-tw/product/117717,837,20220317,0,0,美國,['拉斯維加斯'],['景點門票']
Mount Rigi day trip from Zurich,"Enjoy a day trip to the top of Mount Rigi. Your tour includes a ride in an aerial cable car, a cruise on Lake Lucerne and a visit to the city of Lucerne.",https://www.kkday.com/zh-tw/product/117497,2015,20220320,0,0,瑞士,['蘇黎世'],['景點門票']
La Perle by Dragone tickets in Dubai,Enjoy La Perle by Dragone and see the region's only permanent Las Vegas-style show as you dive into the future of live entertainment in Dubai.,https://www.kkday.com/zh-tw/product/117473,1612,20220317,0,0,阿拉伯聯合大公國,['杜拜'],['景點門票']
Prague full-day sightseeing tour with lunch and river cruise,"Book your full-day Prague sightseeing tour with lunch and river cruise to see the city's best. Discover Prague Castle, Old Town, New Town and much more.",https://www.kkday.com/zh-tw/product/117405,1292,20220317,0,0,捷克,['布拉格'],['景點門票']
Harry Potter walking tour of London,Buy your tickets now and join the Harry Potter walking tour of London to see the Ministry of Magic and Leaky Cauldron up-close.,https://www.kkday.com/zh-tw/product/117384,372,20220318,5,1,英國,['倫敦'],['景點門票']
Wachau Valley day trip with river cruise on the Danube,Book your Ticket for the Wachau Valley Day Tour with Danube River Cruise. Enjoy a boat trip through the UNESCO World Heritage Danube Valley and visit Melk Abbey.,https://www.kkday.com/zh-tw/product/117367,1209,20220319,5,1,奧地利,['維也納'],['景點門票']
Prague dinner cruise ticket,"Book this dinner cruise on the Vltava River to hear live music and see illuminated monuments of Prague illuminated, while enjoying a buffet dinner.",https://www.kkday.com/zh-tw/product/117139,682,20220317,3,1,捷克,['布拉格'],['景點門票']
Yosemite National Park day tour,Book your Yosemite National Park day tour including hotel pick-up and drop-off.,https://www.kkday.com/zh-tw/product/117636,3844,20220317,5,1,美國,['舊金山'],['景點門票']
さがみ湖リゾート プレジャーフォレスト｜入園券・フリーパス,神奈川県相模原市で展開する複合アウトドアリゾート施設「さがみ湖リゾート プレジャーフォレスト 」遊園地の入場チケットとフリーパス。映画すみっコぐらしとのコラボイベント開催中。子供から大人まで楽しめるアスレチックをはじめ、観覧車やアトラクション、さらに「パディントン ベアTM」世界初となるテーマパーク「パディントン タウン」も楽しめます！都心からお車で約60分！約150万㎡の大自然の中で、思いっきり楽しもう！,https://www.kkday.com/zh-tw/product/119906-lake-sagami-pleasure-forest-ticket-kanagawa-japan,460,20220316,0,0,日本,['神奈川'],"['戶外休閒', '主題樂園']"
Skip-the-Line Vatican Museums small-group tour,Skip the lines to the Vatican Museums on a 3-hour small-group tour in Rome and discover one of the world's greatest art collections.,https://www.kkday.com/zh-tw/product/117441,1798,20220317,0,0,義大利,['羅馬'],['景點門票']
Loch Ness and the Highlands of Scotland day trip from Edinburgh,Get your bus tour to Loch Ness and the Highlands of Scotland and spend a day immersed in the beauty and mystery of Scotland.,https://www.kkday.com/zh-tw/product/117304,1488,20220318,0,0,英國,['蘇格蘭'],['景點門票']
Rhine Falls half day tour from Zurich,See the magnificent Rhine Waterfalls on this guided tour from Zurich. Book your tickets with Musement and experience the natural beauty of Switzerland.,https://www.kkday.com/zh-tw/product/117097,837,20220418,0,0,瑞士,['蘇黎世'],['景點門票']
VACATION PHOTOGRAPHER IN PRAGUE,"Book a private professional photographer for a family trip, destination wedding, secret proposal or just a great day. Prices start at $8.33 USD per picture!",https://www.kkday.com/zh-tw/product/31976-professional-photo-shoot-in-prague-czech-republic,7103,20220316,5,1,捷克,['布拉格'],['特色行程']
Transfer from Cappadocia hotels to Nevsehir Airport,Private transfer from Cappadocia area hotel to Nevsehir Airport to.,https://www.kkday.com/zh-tw/product/26572-cappadocia-city-transfer-to-nav-airport-nevsehir-turkey,398,20220318,0,0,土耳其,['內夫謝希爾'],['專車接送']
Abu Dhabi: Desert Safari with BBQ Camel Ride & Sandboarding,"Experience life in the desert at the end of the day on a 4WD safari from Abu Dhabi. Watch traditional dance shows, get the chance to ride a camel and enjoy an open buffet barbecue feast.",https://www.kkday.com/zh-tw/product/26372,3267,20220901,0,0,阿拉伯聯合大公國,['阿布達比'],['一日遊']
Big Apple in Lights | NYC Guided Night Tour With Optional Tickets for Edge Observation Deck,"See New York City sparkle, on an evening panoramic tour of the city! Experience awesome New York City sites at night, as you hop aboard our comfortable tour bus for a comprehensive, fully-guided bus tour of New York City at night!",https://www.kkday.com/zh-tw/product/26352,1676,20220317,0,0,美國,['紐約'],['一日遊']
DISCOVER DC,"Spend the day touring our nation’s capital, visiting historical landmarks and monuments. Throughout the day, learn about the memorials of famous American leaders who helped shape the United States.",https://www.kkday.com/zh-tw/product/26332,2387,20220316,0,0,美國,['紐約'],['一日遊']
Bosphorus Cruise and Istanbul Egyptian Bazaar,"Explore the wonders of historic city with your expert guide. Visit the world famous Spice Bazaar and continue on to a sightseeing cruise on the Bosphorus strait, including the Rumeli Hisarı Fortress and Dolmabahçe Palace.",https://www.kkday.com/zh-tw/product/24668-istanbul-tour-spice-bazaar-bosphorus-strait-turkey,1279,20220319,0,0,土耳其,['開塞利'],['一日遊']
Private transfer from Amman to Petra,Explore one of Jordan's most spectacular highlights on a private tour from Amman,https://www.kkday.com/zh-tw/product/118044,3906,20220317,0,0,約旦,['安曼'],['景點門票']
Day trip to Chambord Chenonceau and Amboise from Paris,"Discover the Loire Valley Castles, enjoying a day trip. Visit Chambord, Chenonceau and Amboise with your guide.",https://www.kkday.com/zh-tw/product/118031,6511,20220319,0,0,法國,['巴黎'],['景點門票']
Private magical Beatles tour in Mercedes luxury transport,"Follow in the Beatles' footsteps, visit Strawberry Fields and instantly recognizable film locations in Liverpool in a private guided tour with luxury transportation!",https://www.kkday.com/zh-tw/product/118025,4465,20220317,0,0,英國,['利物浦'],['景點門票']
Golden Gate Bridge to Sausalito guided bike tour,Book with Musement and see the best of San Francisco's Golden Gate Bridge and Sausalito on a guided bike tour.,https://www.kkday.com/zh-tw/product/118024,992,20220316,0,0,美國,['舊金山'],['景點門票']
Mount Pilatus full day tour from Zurich,Book your full-day tour of Lucerne and Mount Pilatus with Musement to visit the charming town of Lucerne followed by a panoramic gondola and cableway with jaw dropping views and warm up in a Swiss Mountain Restaurant.,https://www.kkday.com/zh-tw/product/118016,2356,20220320,0,0,瑞士,['蘇黎世'],['景點門票']
The best of Copenhagen tour,"Book your ticket to this walking tour of Copenhagen and see all the main attractions, while you learn about the Danish traditions.",https://www.kkday.com/zh-tw/product/117999,1798,20220504,0,0,丹麥,['哥本哈根'],['景點門票']
Sundowner Cruise on Dubai Creek,Book your sundowner cruise through Dubai Creek and learn about the history of the city while sightseeing the different points of interest.,https://www.kkday.com/zh-tw/product/117987,1457,20220318,0,0,阿拉伯聯合大公國,['杜拜'],['景點門票']
Tallinn 24h and 72h hop-on hop-off bus tour,Visit Tallinn and its main attractions on a 24h or 72h hop-on hop-off bus tour and learn more about the city's history with an audioguide.,https://www.kkday.com/zh-tw/product/117983,310,20220402,0,0,愛沙尼亞,['塔林'],['景點門票']
Amazing land & sea tour with open roof 4x4 and dolphin spotting,Enjoy Boca dos Namorados' wonderful landscapes and Cabo Girão amazing glass floor balcony suspended 589 mts. Discover the beauty of Madeira's Sea on board of a catamaran and enjoy watching dolphins and whales,https://www.kkday.com/zh-tw/product/117981,1488,20220317,0,0,葡萄牙,['豐沙爾'],['景點門票']
Cadiz Hop-on Hop-off 24 hour bus tour,What better way to enjoy the city than by hop-on hop-off bus? Explore Cadiz now!,https://www.kkday.com/zh-tw/product/117980,310,20220317,0,0,西班牙,['卡迪斯'],['景點門票']
Handmade pasta and typical dessert cooking class with lunch in Florence's historic center,Book this handmade pasta and typical dessert cooking class in Florence with lunch or dinner. Prepare 3 types of pasta with sauce and a delicious Italian dessert.,https://www.kkday.com/zh-tw/product/117977,1705,20220318,0,0,義大利,['佛羅倫斯'],['特色行程']
Cape Winelands half-day shared tour,"Enjoy a wine tasting at an award-winning wine farm, accompanied by a cheese assortment and a unique ride on the Franschhoek tram.",https://www.kkday.com/zh-tw/product/117961,837,20220317,0,0,南非,['開普敦'],['景點門票']
Jungfraujoch top of Europe from Interlaken,Join a day trip to Jungfraujoch – Top of Europe from Interlaken to see the UNESCO “World Heritage Site of the Swiss Alps.”,https://www.kkday.com/zh-tw/product/117952,3751,20220319,0,0,瑞士,['因特拉肯'],['景點門票']
Grindelwald and Mount First full-day adventure,Book your tickets for a thrilling day in Grindelwald and Mount First. Enjoy the adrenaline while you slide down the gigantic zip line or walk the Cliff Walk.,https://www.kkday.com/zh-tw/product/117933,3503,20220514,0,0,瑞士,['蘇黎世'],['景點門票']
Dresden XXL Trabi safari,Book your Dresden XXL Trabi Safari and drive around Dresden to discover its main attractions and the interesting architecture of the city center's past and present.,https://www.kkday.com/zh-tw/product/117928,2449,20220317,0,0,德國,['德勒斯登'],['景點門票']
Private VIP Transfer: Galeão airport to Rio de Janeiro,Book your transfer from Galeão Airport to Rio de Janeiro in advance for a smooth start to your visit. Relax and enjoy the landscapes between the airport and your destination.,https://www.kkday.com/zh-tw/product/117913,1147,20220318,0,0,巴西,['里約熱內盧'],['景點門票']
